"typeId:int","type:string","nickName:string","image:string","layer:int","level_init:int","hp_init:int","str_init:int","def_init:int","mdef_init:int","gold_init:int","xp_init:int","attrs:string","attrsData:string","chatId_init:int","isBlock:int","speed_init:float","relation:int","mutual:int","vision:string","inBook:int","canBomb:int","headImage:string","introduce:string","viewHide:int","animation:string"
"1003033","Monster","小青蛙","actor_0128.png","3","1","400","170","35","","1","6","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor23_idle_down"
"1003034","Monster","大蛤蟆","actor_0131.png","3","1","470","176","40","","2","10","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor24_idle_down"
"1003035","Monster","刀狐狸","actor_0134.png","3","1","300","185","70","","4","18","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor25_idle_down"
"1003036","Monster","低级水精灵","actor_0137.png","3","1","550","190","90","","5","22","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor26_idle_down"
"1003037","Monster","低级野兽","actor_0140.png","3","1","650","200","110","","6","18","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor27_idle_down"
"1003038","Monster","青蛇","actor_0143.png","3","1","450","170","130","","8","25","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor28_idle_down"
"1003039","Monster","高级野兽","actor_0146.png","3","1","800","209","120","","8","22","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor29_idle_down"
"1003040","Monster","野兽王","actor_0149.png","3","1","400","215","125","","20","80","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor30_idle_down"
"1003041","Monster","紫狐狸","actor_0152.png","3","1","450","222","99","","10","26","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor31_idle_down"
"1003042","Monster","低级树人","actor_0155.png","3","1","500","205","133","","9","21","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor32_idle_down"
"1003043","Monster","蓝烟怪","actor_0158.png","3","1","600","244","50","","11","29","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor33_idle_down"
"1003044","Monster","初级猎人","actor_0161.png","3","1","900","234","130","","13","25","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor34_idle_down"
"1003045","Monster","高级水精灵","actor_0164.png","3","1","780","256","99","","12","21","","","1","2","5","3","","{-1,0}|{0,1}|{0,0}|{0,-1}|{1,0}","","1","","搜到佛为房间","","idle_down:actor35_idle_down"
"1003046","Monster","高级树人","actor_0167.png","3","1","700","249","150","","9","27","","","1","2","5","3","","","","1","","","","idle_down:actor36_idle_down"
"1003047","Monster","高级猎人","actor_0170.png","3","1","1000","250","140","","10","30","","","1","2","5","3","","","","1","","","","idle_down:actor37_idle_down"
"1003048","Monster","红色史莱姆","actor_0032.png","3","1","35","5","1","","","","","","1","2","5","3","","","","1","","","","idle_down:actor7_idle_down"
"1003049","Monster","白银史莱姆","actor_0035.png","3","1","31","5","2","","","","","","1","2","5","3","","","","1","","","","idle_down:actor8_idle_down"
"1003050","Monster","绿色史莱姆","actor_0038.png","3","1","55","4","2","","","","","","1","2","5","3","","","","1","","","","idle_down:actor9_idle_down"
"1003051","Monster","黄金史莱姆","actor_0056.png","3","1","60","6","2","","","","","","1","2","5","3","","","","1","","","","idle_down:actor15_idle_down"
"1003052","Monster","黑色史莱姆","actor_0047.png","3","1","65","5","3","","","","","","1","2","5","3","","","","1","","","","idle_down:actor12_idle_down"
"1003053","Monster","史莱姆王","actor_0113.png","3","1","63","6","3","","","","","","1","2","5","3","","","","1","","","","idle_down:actor34_idle_down"
"1003054","Monster","高级水精灵","actor_0164.png","3","1","780","256","99","","12","21","","","1","2","5","3","","","","1","","","","idle_down:actor35_idle_down"
"1003055","Monster","高级树人","actor_0167.png","3","1","700","249","150","","9","27","","","1","2","5","3","","","","1","","","","idle_down:actor36_idle_down"
"1003056","Monster","高级猎人","actor_0170.png","3","1","1000","250","140","","10","30","","","1","2","5","3","","","","1","","","","idle_down:actor37_idle_down"
"1003057","Monster","未知BOSS","actor_0173.png","3","1","2000","270","150","","30","100","","","1","2","5","3","","","","1","","","","idle_down:actor38_idle_down"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1003999","Monster","自定义","","3","1","","","","","","","","","1","2","5","3","","","","1","","","","idle_down:actor10_idle_down"
